/home/archer/.local/lib/python3.10/site-packages/gym/envs/registration.py:555: UserWarning: [33mWARN: The environment SuperMarioBros-1-1-v0 is out of date. You should consider upgrading to version `v3`.[0m
  logger.warn(
Training:   0%|                                                                                 | 0/500 [00:00<?, ?it/s]/home/archer/.local/lib/python3.10/site-packages/gym/utils/passive_env_checker.py:195: UserWarning: [33mWARN: The result returned by `env.reset()` was not a tuple of the form `(obs, info)`, where `obs` is a observation and `info` is a dictionary containing additional information. Actual type: `<class 'numpy.ndarray'>`[0m
  logger.warn(
/home/archer/.local/lib/python3.10/site-packages/gym/utils/passive_env_checker.py:272: UserWarning: [33mWARN: No render modes was declared in the environment (env.metadata['render_modes'] is None or not defined), you may have trouble when calling `.render()`.[0m
  logger.warn(
/home/archer/.local/lib/python3.10/site-packages/gym/utils/passive_env_checker.py:219: DeprecationWarning: [33mWARN: Core environment is written in old step API which returns one bool instead of two. It is recommended to rewrite the environment with new step API. [0m
  logger.deprecation(
Episode 102 | Reward: 249.00 | Eps: 0.020
Episode 103 | Reward: 231.00 | Eps: 0.020
Episode 104 | Reward: 1017.00 | Eps: 0.020
Episode 105 | Reward: 612.00 | Eps: 0.020
Episode 106 | Reward: 604.00 | Eps: 0.020
Episode 107 | Reward: 630.00 | Eps: 0.020
Episode 108 | Reward: 1036.00 | Eps: 0.020
Episode 109 | Reward: 617.00 | Eps: 0.020
Episode 110 | Reward: 240.00 | Eps: 0.020
Episode 111 | Reward: 1042.00 | Eps: 0.020
Episode 112 | Reward: 245.00 | Eps: 0.020
Episode 113 | Reward: 247.00 | Eps: 0.020
Episode 114 | Reward: 633.00 | Eps: 0.020
Episode 115 | Reward: 251.00 | Eps: 0.020
Episode 116 | Reward: 629.00 | Eps: 0.020
Episode 117 | Reward: 1270.00 | Eps: 0.020
Episode 118 | Reward: 612.00 | Eps: 0.020
Episode 119 | Reward: 250.00 | Eps: 0.020
Episode 120 | Reward: 1341.00 | Eps: 0.020
Episode 121 | Reward: 747.00 | Eps: 0.020
Episode 122 | Reward: 638.00 | Eps: 0.020
Episode 123 | Reward: 247.00 | Eps: 0.020
Episode 124 | Reward: 615.00 | Eps: 0.020
Episode 125 | Reward: 761.00 | Eps: 0.020
Episode 126 | Reward: 1020.00 | Eps: 0.020
Episode 127 | Reward: 1031.00 | Eps: 0.020
Episode 128 | Reward: 240.00 | Eps: 0.020
Episode 129 | Reward: 235.00 | Eps: 0.020
Episode 130 | Reward: 1035.00 | Eps: 0.020
Episode 131 | Reward: 247.00 | Eps: 0.020
Episode 132 | Reward: 817.00 | Eps: 0.020
Episode 133 | Reward: 636.00 | Eps: 0.020
Episode 134 | Reward: 751.00 | Eps: 0.020
Episode 135 | Reward: 633.00 | Eps: 0.020
Episode 136 | Reward: 1015.00 | Eps: 0.020
Episode 137 | Reward: 233.00 | Eps: 0.020
Episode 138 | Reward: 1038.00 | Eps: 0.020
Episode 139 | Reward: 641.00 | Eps: 0.020
Episode 140 | Reward: 1037.00 | Eps: 0.020
Episode 141 | Reward: 247.00 | Eps: 0.020
Episode 142 | Reward: 1024.00 | Eps: 0.020
